start_time,end_time,duration_sec
2025-12-15 00:00:35.750,2025-12-15 00:02:22.250,106.5
2025-12-15 00:12:40.250,2025-12-15 00:13:31.000,50.75
2025-12-15 00:16:47.250,2025-12-15 00:17:22.750,35.5
2025-12-15 00:22:24.250,2025-12-15 00:23:04.250,40.0
2025-12-15 00:23:23.750,2025-12-15 00:23:47.500,23.75
2025-12-15 00:24:49.250,2025-12-15 00:25:29.250,40.0
2025-12-15 00:31:05.500,2025-12-15 00:31:29.250,23.75
2025-12-15 00:31:37.250,2025-12-15 00:32:37.750,60.5
2025-12-15 01:23:18.750,2025-12-15 01:23:43.500,24.75
2025-12-15 01:24:28.750,2025-12-15 01:24:56.250,27.5
2025-12-15 01:32:07.250,2025-12-15 01:32:36.000,28.75
2025-12-15 01:33:03.500,2025-12-15 01:34:18.000,74.5
2025-12-15 01:34:19.500,2025-12-15 01:35:31.000,71.5
2025-12-15 01:38:28.000,2025-12-15 01:39:34.250,66.25
2025-12-15 01:51:22.500,2025-12-15 01:51:52.500,30.0
2025-12-15 02:02:23.750,2025-12-15 02:04:42.750,139.0
2025-12-15 02:06:59.500,2025-12-15 02:07:26.250,26.75
2025-12-15 02:07:32.250,2025-12-15 02:08:07.750,35.5
2025-12-15 02:08:13.750,2025-12-15 02:08:49.000,35.25
2025-12-15 02:10:00.250,2025-12-15 02:10:24.250,24.0
2025-12-15 02:16:33.500,2025-12-15 02:16:57.500,24.0
2025-12-15 02:17:06.000,2025-12-15 02:18:37.000,91.0
2025-12-15 02:21:31.500,2025-12-15 02:21:55.500,24.0
2025-12-15 14:56:17.500,2025-12-15 14:56:56.500,39.0
2025-12-15 14:57:01.500,2025-12-15 14:57:48.750,47.25
2025-12-15 15:00:10.500,2025-12-15 15:00:36.000,25.5
2025-12-15 15:01:02.000,2025-12-15 15:01:30.250,28.25
2025-12-15 15:02:51.250,2025-12-15 15:04:13.000,81.75
2025-12-15 15:15:08.000,2025-12-15 15:16:02.250,54.25
